Elementary,Intermediate ,Advanced
"Music subscription services, like Spotify and Deezer, have made more than $1bn worldwide, as fans choose to pay for music online.","Music subscription services, including Spotify and Deezer, have broken through the $1bn sales barrier worldwide, as fans choose to pay for music online.","Music subscription services, including Spotify and Deezer, have broken through the $1bn sales barrier worldwide, as increasing numbers of fans choose to pay for music online."
"Income from music streaming and subscription rose by more than 50% in 2013 to reach $1.1bn. And, sales of recorded music in Europe grew for the  rst time in12 years.","Streaming and subscription revenues rose by more than 50% in 2013 to reach $1.1bn, and sales of recorded music in Europe grew for the  rst time in 12 years, according to  gures published in March.","Streaming and subscription revenues rose by more than 50% in 2013 to reach $1.1bn, helping overall sales of recorded music in Europe grow for the  rst time in 12 years, according to  gures published inMarch 2014."
"Many people still listen for free, but many others are willing to pay money to get a better choice of music. In three years, the number of paying subscribers rose from 8 million to 28 million, according to the 2014 digital music report from the International Federation of the PhonographicIndustry (IFPI).","While many people still listen for free, a desire for more choice is persuading more music lovers to part with their cash. In a three-year period, the number of paying subscribers rose from 8 million to 28 million, according to the 2014 digital music report from the International Federation of the Phonographic Industry (IFPI).","There are now an estimated 450 music-rental services around the world, and, while many people still listen for free, a desire for more choice is persuading more music lovers to part with their cash. In a three-year period, the number of paying subscribers rose from 8 million to 28 million, according to the 2014 digital music report from the International Federation of the Phonographic Industry (IFPI)."
"Subscription services are easily accessible from smartphones and tablets, so they are popular with people who want to try out new music without buying a download or a CD. People like this cheap, user-friendly and legal alternative to pirated downloads.","Easily accessible from smartphones and tablets, subscription services are popular with people who want to try out new music without buying a download or a CD. They like this cheap, user-friendly and legal alternative to pirated downloads. “It isnow clear that music streaming and subscription is a mainstream model for our business,” said IFPI Chief Executive, Frances Moore.","Easily accessible from smartphones and tablets, subscription services are popular with people looking to try out new music without committing to buying a download or a CD. Consumers say they are attracted by a cheap, user-friendly and legal alternative to pirated downloads. “It is now clear that music streaming and subscription is a mainstream model for our business,” said IFPI Chief Executive, Frances Moore."
"In Britain and America, streaming may soon make more money for the music industry than downloads from online stores such as Apple’s iTunes. A third of all digital sales globally now come from subscription services and the other two thirds come from downloads.","The IFPI also said that One Direction were the biggest selling artists of 2013, with 4m physical and digital sales for their Midnight Memories album. Katy Perry’s Prism was the best-selling album by a female artist, in sixth place behind Eminem, Justin Timberlake, Bruno Mars and Daft Punk.","The IFPI also said that One Direction were the biggest-selling artists of 2013, with 4m physical and digital sales for their Midnight Memories album. Katy Perry’s Prism was the best-selling album by a female artist, in sixth place behind Eminem, Justin Timberlake, Bruno Mars and Daft Punk."
"In the US, the percentage of people using subscription services and streaming rose from 19% in 2012 to 23%. At the same time, the percentage of people downloading fell from 28% to 27%.",Consumer-technology companies are joining the music-streaming trend. Apple has its iTunes Radio and Google its Play Store. Smaller companies like Beats Music are also joining the trend.,"Consumer-technology companies have been racing to join the music-streaming trend, with Apple launching iTunes Radio and Google promoting its Play Store, withsmaller players like Beats Music, created by the team behind the Beats headphones brand, also joining the fray."
"In Britain, the number of people downloading music stayed the same at exactly one third, but subscribers grew from 19% to 22%.In Sweden, France and Italy, streaming is already more popular than downloading.","In Britain and America, streaming may soon generate more revenue for the music industry than downloads from online stores such as Apple’s iTunes. Subscription services now account for a third of all digital sales globally, with downloads making up the rest, but the IFPI data shows that the two formats are growing at different rates.","There are signs that, in Britain and America, streaming may soon generate more revenue for the music industry than downloadsfrom online stores such as Apple’s iTunes. Subscription services now account for a third of all digital sales globally, with downloads making up the balance, but the IFPI data shows that the two formats are growing at different rates."
"Thirty-nine per cent of all music sales are now digital. Sales of CDs and vinyl reduced a lot in 2013, but they still make just over half the music industry’s income.","In the US, the percentage of people using subscription services and streamingrose from 19% in 2012 to 23%, while the percentage of people downloading fell from 28% to 27%. In Britain, downloaders remained static at exactly one third, while subscribers grew from 19% to 22%. In Sweden, France and Italy, streaming is already more popular than downloading.","In the US, the percentage of people claiming to use subscription and streaming rose from 19% in 2012 to 23%, while the percentage of people downloading fell from 28% to 27%. In Britain, downloaders remained static, at exactly one third, while subscribers grew from 19% to 22%. In Sweden, France and Italy, streaming is already more popularthan downloading."
Vinyl continued to make a comeback in some places. Sales increased by 32% in America and by 101% in the UK in 2013.,"Digital formats now account for 39% ofall music sales, or nearly £5.9bn out of £15bn, and, while sales of physical formats, such as CDs and vinyl, declined steeply in 2013, they still contribute just over half the industry’s income.","Digital formats now account for 39% of all music sales, or nearly £5.9bn out of £15bn, and, while sales of CDs and vinyl declined steeply in 2013, they still contribute just over half the industry’s income. A recent crashin music sales in Japan, which accounts for one  fth of music industry sales and where physical formats remained popular for longer than elsewhere, meant sales across all formats globally fell 3.9%."
,Vinyl continued to make a comeback in some markets. Sales increased by 32% in America and by 101% in the UK in 2013.,"However, vinyl continued to make a comeback in some markets. Sales increased by 32% in America and by 101% in the UK in 2013."